municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Brunete,190000.0,1,2,80.0,Calle Pradillo,102502445,https://www.idealista.com/inmueble/102502445/
Brunete,199900.0,2,2,81.0,Caridad,103100308,https://www.idealista.com/inmueble/103100308/
Brunete,239900.0,2,3,144.0,campo,103643988,https://www.idealista.com/inmueble/103643988/
Brunete,259900.0,2,3,111.0,Amargura,102889783,https://www.idealista.com/inmueble/102889783/
Brunete,399900.0,2,4,150.0,Alto del Fresnedal,102813399,https://www.idealista.com/inmueble/102813399/
Brunete,276900.0,2,3,140.0,Calle Concorde,102938170,https://www.idealista.com/inmueble/102938170/
Brunete,385000.0,1,7,284.0,Plaza de la iglesia,103132571,https://www.idealista.com/inmueble/103132571/
Brunete,244900.0,2,3,90.0,Calle MARTIRES,103607468,https://www.idealista.com/inmueble/103607468/
Brunete,284900.0,2,2,114.0,Miguel Induraín,101984758,https://www.idealista.com/inmueble/101984758/
Brunete,235000.0,2,3,88.0,Plaza oriente,102573116,https://www.idealista.com/inmueble/102573116/
Brunete,231000.0,2,2,169.0,Brunete,101463373,https://www.idealista.com/inmueble/101463373/
Brunete,205000.0,2,3,120.0,guadarrama,103492846,https://www.idealista.com/inmueble/103492846/
Brunete,549900.0,3,4,230.0,Calle Theresa Zabell,103693249,https://www.idealista.com/inmueble/103693249/
Brunete,329000.0,2,3,140.0,Calle Fermín Cacho,103077461,https://www.idealista.com/inmueble/103077461/
Brunete,284900.0,2,3,146.0,Calle Luna,103307713,https://www.idealista.com/inmueble/103307713/
Brunete,685000.0,2,7,294.0,orquideas,103698500,https://www.idealista.com/inmueble/103698500/
Brunete,495000.0,2,3,230.0,N/D no number,101354054,https://www.idealista.com/inmueble/101354054/
Brunete,231000.0,2,2,93.0,"POZO, 1",94459660,https://www.idealista.com/inmueble/94459660/
Brunete,272000.0,2,4,99.0,SOROLLA,101653974,https://www.idealista.com/inmueble/101653974/
Brunete,231000.0,2,2,169.0,Calle Pozo,101243578,https://www.idealista.com/inmueble/101243578/
Brunete,249990.0,2,3,120.0,Brunete,101973351,https://www.idealista.com/inmueble/101973351/
Brunete,299000.0,2,3,90.0,Brunete,103754609,https://www.idealista.com/inmueble/103754609/
Brunete,310000.0,2,3,115.0,Brunete,1207661,https://www.idealista.com/inmueble/1207661/
Brunete,599000.0,4,5,283.0,"Carretera de San Martin, 1 B 7",103384789,https://www.idealista.com/inmueble/103384789/
Brunete,221298.0,2,2,119.0,"Calle Avila , 6",98129817,https://www.idealista.com/obra-nueva/98129817/
Brunete,277625.0,3,3,149.0,"Calle Avila , 6",102213085,https://www.idealista.com/obra-nueva/102213085/
Brunete,498000.0,3,4,279.0,El Larguero,102872310,https://www.idealista.com/inmueble/102872310/
Brunete,205000.0,2,3,105.0,Calle Guadarrama,103779149,https://www.idealista.com/inmueble/103779149/
Brunete,260000.0,2,2,99.0,"Calle Sorolla, 1",103132681,https://www.idealista.com/inmueble/103132681/
Brunete,269500.0,2,3,116.0,Calle Real de San Sebastián,103315392,https://www.idealista.com/inmueble/103315392/
Brunete,380000.0,3,6,225.0,Calle Pozo,97131568,https://www.idealista.com/inmueble/97131568/
Brunete,299000.0,2,3,92.0,Brunete,103627214,https://www.idealista.com/inmueble/103627214/
Brunete,250000.0,2,3,130.0,Plaza mayor,103734531,https://www.idealista.com/inmueble/103734531/
Brunete,250000.0,2,2,84.0,"Calle Pozo, 16",25836113,https://www.idealista.com/inmueble/25836113/
Brunete,698000.0,4,6,280.0,Brunete,103751601,https://www.idealista.com/inmueble/103751601/
Brunete,259000.0,3,3,186.0,Calle Real de San Sebastián,102934534,https://www.idealista.com/inmueble/102934534/
Brunete,202900.0,1,1,41.0,"Calle Doctor Rodríguez de la Fuente, 25",99378902,https://www.idealista.com/obra-nueva/99378902/
Brunete,179900.0,1,1,54.0,"Calle Doctor Rodríguez de la Fuente, 25",99378960,https://www.idealista.com/obra-nueva/99378960/
Brunete,219900.0,1,1,58.0,"Calle Doctor Rodríguez de la Fuente, 25",99379078,https://www.idealista.com/obra-nueva/99379078/
Brunete,225900.0,2,2,62.0,"Calle Doctor Rodríguez de la Fuente, 25",99379071,https://www.idealista.com/obra-nueva/99379071/
Brunete,229900.0,2,2,81.0,"Calle Doctor Rodríguez de la Fuente, 25",99378990,https://www.idealista.com/obra-nueva/99378990/
Brunete,179900.0,1,1,54.0,"Calle Doctor Rodríguez de la Fuente, 25",99379023,https://www.idealista.com/obra-nueva/99379023/
Brunete,229900.0,2,2,78.0,"Calle Doctor Rodríguez de la Fuente, 25",99379039,https://www.idealista.com/obra-nueva/99379039/
Brunete,239900.0,2,2,93.0,"Calle Doctor Rodríguez de la Fuente, 25",99379018,https://www.idealista.com/obra-nueva/99379018/
Brunete,219900.0,2,2,70.0,"Calle Doctor Rodríguez de la Fuente, 25",99378953,https://www.idealista.com/obra-nueva/99378953/
Brunete,169900.0,1,1,51.0,"Calle Doctor Rodríguez de la Fuente, 25",99378901,https://www.idealista.com/obra-nueva/99378901/
Brunete,210000.0,2,3,116.0,Calle ERAS,103701368,https://www.idealista.com/inmueble/103701368/
Brunete,272000.0,2,4,97.0,SOROLLA,103007443,https://www.idealista.com/inmueble/103007443/
Brunete,498000.0,3,5,279.0,Brunete,101062255,https://www.idealista.com/inmueble/101062255/
Brunete,374900.0,2,4,156.0,Camino de las Caudalosas,102233259,https://www.idealista.com/inmueble/102233259/
